Name_of_the_video;ind;MG;TMG;MGA;TMGA;DG;MSGO;MAGO;MSGC;MAGC;Thd1;Mhd1;TMhd1;Dhd1;MSDhd1;MADhd1;MSEhd1;MAEhd1;Thd2;Mhd2;TMhd2;Dhd2;MSDhd2;MADhd2;MSEhd2;MAEhd2;MHA;TMHA;PCD;tweezer;SPD0;HA0;T0;Tmax_gape;T0_hd1_when_manually_extracted_from_csv_file;Tend_hd1;T0_hd2_when_manually_extracted_from_csv_file;Tend_hd2
pink2_pince_2_vdt_good_cropped;A2;1.033492; 0.035;70.40559;0.035;0.111;73.52184;13463.9;-39.19007;4758.49;0.005;0.5478353;0.048;0.213; 48.38237;9758.141;-9.436696;2552.253;0.002;0.7729954;0.034;0.242; 57.22128;8473.251;-12.13951;3832.543;152.3046;0.026;0.244;yes;0.07;134.354080592245;0.011;0.046;;0.229;0.013;0.255
pink2_pince_3_vdt_good_cropped;A2;0.814863;0.032;53.57149; 0.027;0.108;60.01795;7036.865;-27.44933; 4676.774;0.01;0.3643295;0.105;0.228;32.52565;7094.123;-5.922844;1333.75; 0.008;0.6208895;0.043;0.305;35.67562;7277.959; -9.500137;1839.741;142.6808;0.025;0.313;yes;0;131.030256626922;0.045;0.077;;0.283;;0.358
pink2_pince_4_vdt_good_cropped;A2;0.9169669;0.031; 45.20106;0.031;0.099;69.53672;8070.785;-38.67579;4405.184;0.013;0.4207881;0.033;0.304;40.92322;6513.519; -12.33025;2044.506;0.002;0.7504514;0.046;0.323;30.24452; 2321.746;-21.21377;2196.071;141.1253;0.021;0.325;yes;0.11;129.273674226774;0.012;0.043;;0.329;0.014;0.337
pink2_pince_5_vdt_good_cropped;A2;0.3810417;0.028;25.8049;0.028;0.064;24.27213;3148.39; -24.87232;2562.615;0.007;0.2736145;0.098; 0.49; 10.47725;1919.934;-2.161807;452.4251;0.009;0.4258383;0.119;0.595;20.72;2530.169; -2.449029;712.6103;134.6662;0.026;0.604;yes;0;125.356970616874;0.008;0.036;;0.505;;0.612
pink2_pince_6c_vdt_good_cropped;A2;0.4262868;0.035;29.47039;0.036; 0.121;27.53852;4461.82;-12.34434;1432.158;0.006;0.247802;0.101;0.383;10.69551; 631.5743;-4.53484; 1186.429;0.003;0.3463613;0.098; 0.441;13.32482;1123.232; -3.612392;825.8092;139.2931;0.034;0.444;yes;0;131.271017400364;0.007;0.042;0.013; 0.396;;0.451
pink2_sans_pince_1_vdt_au_vol_cropped;A2;0.7858182;0.035;41.59118; 0.027; 0.079; 44.94293;11317.1; -30.78855;4092.503;0.016;0.3960831;0.048;0.329;25.68323;5793.194;-11.01896;3198.196;0.012;0.6841811;0.048; 0.333;32.01197;7039.526;-10.44758; 3758.065;151.3639;0.032;0.345;no;0;138.158519123345;0.001;0.036;0.017;0.346;;0.346
pink2_sans_pince_2_vdt_good_cropped;A2;0.8012373;0.025;50.51907; 0.025;0.043;53.70723;10401.31; -84.30106;19054.23;0.001;0.5125423;0.026;0.337;41.34871;5782.724;-7.319312;3504.965;0.002;0.611464;0.037; 0.336;35.91745;3572.83;-7.599054;3977.06;149.232;0.022; 0.338;no;0;126.162007726405;0.017;0.042;;0.355;;0.355
pink2_sans_pince_3_vdt_good_cropped;A2;0.4797114;0.025;33.46337;0.025;0.055;43.98461;7749.418;-41.04656;7310.811;0.012;0.31552;0.03;0.254;29.31407;5893.583;-11.91998;3754.467;0.009;0.3246702;0.077; 0.266;19.76884;3831.684;-7.250621;2510.709;139.1271;0.025;0.275;no;0;126.703292205218;0.005;0.03;0.017;0.271;0.017;0.28
pink2_sans_pince_4_vdt_good_cropped;A2;0.7987475;0.03;46.18009;0.031; 0.067;59.32785;7753.258; -36.65111;4548.501;0.007;0.4419725;0.028;0.298;37.06264; 6498.408;-7.160121;3421.054;0.01;0.6259221;0.044;0.295;50.4992;5741.856;-5.707442;2724.304;147.1743;0.029;0.305;no;0.46;130.210882382849;0.02;0.05;;0.325;;0.325
pink2_sans_pince_5_vdt_good_cropped;A2;0.3834135;0.022;29.95995;0.023;0.072;31.24506;5359.696;-27.50086;3473.897;0.005;0.3605109;0.059;0.309;30.87245; 4620.255;-4.490066;1393.093;0.009;0.4204632;0.087;0.295;29.17845;5471.376;-3.00691; 828.828;125.7894;0.02;0.314;no;0;117.394189582686;0.015;0.037;;0.329;;0.319
