Name_of_the_video;ind;MG;TMG;MGA;TMGA;DG;MSGO;MAGO;MSGC;MAGC;prey_capture_type;MTgP;TMTgP;TgD;MSTgP; MATgP;MSTgR;MATgR;Thd1;Mhd1;TMhd1;Dhd1;MSDhd1;MADhd1;MSEhd1;MAEhd1;Thd2;Mhd2;TMhd2;Dhd2;MSDhd2;MADhd2;MSEhd2;MAEhd2;MHA;TMHA;PCD;tweezer;SPD0;HA0;T0;Tmax_gape;Tend_gape;T0_tongue;P0_tongue;Tmax_tongue;Tend_tongue;T0_hd1;Tmax_hd1;Tend_hd1;T0_hd2;Tmax_hd2;Tend_hd2
A_tigrinum_ind1_pince_seq5_criquet_cropped;T3;1.928017;0.115;75.4556; 0.12; 0.276;44.37306; 2662.745;-18.51502;456.5609;tg; 1.2295;0.073;0.146;34.84002; 1793.749; -23.15216;925.1466;0.073;0.7846951;0.428;0.801; 10.60759;493.0753;-1.238103;78.56752; 0.083; 0.7378048;0.397;1.338;8.957333; 502.1108; -1.848188;108.2845;144.2048;0.101; 1.421;yes;1.36;122.22671248711; 0.013;0.128;0.289; 0.018;0.9659464;0.086; 0.164;0.086;0.441; 0.887;0.096;0.41;1.434
A_tigrinum_ind1_pince_seq7_criquet_cropped;T3;2.035463;0.115;68.43472; 0.116; 0.346;40.40281; 17113.86; -21.97008; 616.1795;jaws;1.027246;0.064;0.127;36.52886;2714.004;-38.45912;2220.658;0.075; 0.4667045;0.169;1.678; 13.74276;674.1372;-5.05063;207.1955; 0.068;0.61119;0.17; 1.265;14.65019;461.5026;-7.663541; 379.2589;155.1941;0.128;1.753;yes;1.28;143.430129239164;0;0.115; 0.346;0.014; 1.472567;0.064;0.141;0.075; 0.169;1.753;0.068;0.17;1.333
A_tigrinum_ind1_pince_seq8_criquet_cropped;T3; 2.076212;0.163;74.403;0.162;0.237;73.93129; 15589.9;-65.38211;8068.234;jaws; 1.014113;0.073;0.171;50.79439; 10054.79;-72.2915;9772.777;0.083; 0.3319924;0.328;0.289; 15.15143; 3899.588;-4.285308;810.1556;0.073; 0.2794267;0.167;0.299;25.96043;4618.72; -16.5854;3800.15; 147.6154; 0.163;0.372;yes;2.09;127.223650494305;0.044;0.207;0.281;0.044;1.685194;0.117;0.215;0.127;0.372;0.416;0.117; 0.211;0.416
A_tigrinum_ind1_pince_seq9_criquet_cropped;T3; 2.080214;0.19;91.41569; 0.194;0.362;44.71475;2866.976;-49.54086;3148.076;jaws;1.005037;0.109;0.213; 25.81743;1258.788;-29.87541;1746.241;0.15;0.1158412;0.201; 1.289;23.06882;1116.795;-12.48059;1171.89;0.15;0.7209044;0.203;1.289;35.63529; 1928.334;-14.21744; 1211.401;155.7469;0.161; 1.439;yes;2.60;124.969936917146;0.026;0.216;0.388;0.033;1.596292;0.135; 0.246; 0.176;0.227; 1.465;0.176;0.229;1.465
A_tigrinum_ind1_sans_pince_seq1_criquet_cropped;T3;1.85598;0.131; 71.27229;0.127;0.188;39.01524;5312.586; -50.2415;5481.889;tg;1.071043;0.083; 0.153;49.17664;4966.756;-49.44283;5100.207;0.108; 0.5178697; 0.398;0.367;16.94954;2949.651;-1.233799;234.8821; 0.083;0.5672709;0.247; 0.37;22.00387; 2706.727;-4.568127;546.5163;152.6709;0.118;0.475;no;0.87;132.800081608039;0.034;0.165;0.222;0.043;1.42674;0.117;0.196;0.142; 0.432;0.509;0.117;0.281;0.487
A_tigrinum_ind1_sans_pince_seq3_criquet_cropped;T3;1.657082;0.118;67.94928;0.118;0.187; 38.07958;2242.77;-46.23383;1592.844;tg;0.6141343;0.077; 0.114;26.62672; 2139.75;-51.75727;3028.368;0.097;0.4116284;0.238; 0.197;11.01946;788.6697;-3.020771;239.5812;0.077;0.5550775; 0.201;0.232; 7.908792;468.8355; -7.380582;443.105;143.5389; 0.041; 0.309;no;0.77;132.938088381602;0.006;0.124;0.193;0.025;1.446759; 0.083;0.139;0.103;0.244;0.3;0.083;0.207; 0.315
A_tigrinum_ind1_sans_pince_seq4_criquet_cropped;T3; 1.818023; 0.123; 75.57359;0.127; 0.233;38.71534; 2950.362; -32.95141; 1071.593;tg; 0.6970173;0.084;0.123;32.24318; 2213.744;-49.06903; 2762.482; 0.099;0.2887323;0.203; 1.077;11.12985; 627.4593; -2.469205; 257.0428;0.088;0.6356421;0.163; 1.088;17.29306;765.648;-3.118562;365.8397;140.4104;0.036; 1.176;no;1.05;130.831073564099;0.019;0.142; 0.252;0.037; 1.400622; 0.103;0.16;0.118;0.222;1.195;0.107;0.182;1.195
A_tigrinum_ind1_sans_pince_seq5_criquet_cropped;T3;2.053969;0.148;89.66773;0.138;0.23;39.05804;2066.795;-47.20459; 1674.084;tg;0.8714962;0.062;0.148; 23.85183;1846.416;-31.3278;1937.042;0.098; 0.4467986; 0.554; 1.449;11.51982; 626.9896; -1.333851; 39.79066;0.076; 0.8589394;0.192;1.859;16.56064; 404.6281;-6.94872; 420.9221;150.281;0.152; 1.935;no;3.17;135.57727764859;0.028;0.176;0.258;0.036;1.338605;0.09; 0.184;0.126;0.582;1.575;0.104;0.22;1.963
A_tigrinum_ind2_pince_seq2_criquet_cropped;T4; 1.739978;0.128; 71.75243;0.133;0.223;55.19092; 5623.568;-46.70991;3154.096;jaws;0.8087737; 0.058; 0.144;30.22142;3167.448;-35.90744;2614.16;0.102; 0.2272687;0.144;0.724;13.97758;1610.174;-6.515071;735.0156;0.088; 0.4953859; 0.164; 0.738;25.07448;2194.275;-3.966119;1131.52;150.0357;0.134; 0.826;yes;0.4;119.580337185845; 0.012;0.14;0.235; 0.015;1.069499;0.07;0.159;0.114; 0.156;0.838; 0.1;0.176;0.838
A_tigrinum_ind2_pince_seq6_criquet_flou_cropped;T4;1.292776; 0.102;51.32597;0.105;0.174;38.68046;4578.143; -30.5188;1449.807;tg;0.7013118;0.064;0.089;22.2932;1507.722; -24.44809;1141.838;0.064;0.4550216; 0.666;1.285; 11.84713;531.7421;-0.9609512;42.32914; 0.077;0.3292433;0.22;1.385;15.12387; 931.844; -1.39242; 83.2786; 151.9133; 0.062;1.462;yes;0.16;128.563315303512;0;0.102; 0.174;0.013;0.94576;0.064;0.102;0.064;0.666; 1.349;0.077;0.22;1.462
